"FolderPath","FolderType","ItemsInFolder","FolderSize"
"/ALSCO - WBM","User Created","15","1.516 MB (1,589,273 bytes)"
"/ALSCO - WBM/AeroComposities","User Created","0","0 B (0 bytes)"
"/ALSCO - WBM/AeroComposities/Client","User Created","14","5.152 MB (5,401,768 bytes)"
"/ALSCO - WBM/AeroComposities/Internal","User Created","1","73.97 KB (75,742 bytes)"
"/ALSCO - WBM/AeroComposities/Opposing","User Created","5","726.6 KB (744,061 bytes)"
"/ALSCO - WBM/Angelo","User Created","0","0 B (0 bytes)"
"/ALSCO - WBM/Angelo/client","User Created","24","11.57 MB (12,129,286 bytes)"
"/ALSCO - WBM/Angelo/Internal","User Created","15","3.825 MB (4,011,196 bytes)"
"/ALSCO - WBM/Angelo/Opposing","User Created","5","2.5 MB (2,621,837 bytes)"
"/ALSCO - WBM/AP Bar","User Created","0","0 B (0 bytes)"
"/ALSCO - WBM/AP Bar/Client","User Created","11","3.527 MB (3,698,591 bytes)"
"/ALSCO - WBM/AP Bar/Internal","User Created","11","3.836 MB (4,022,331 bytes)"
"/ALSCO - WBM/AP Bar/Opposing","User Created","3","2.388 MB (2,504,478 bytes)"
"/ALSCO - WBM/Arrow Leaf","User Created","0","0 B (0 bytes)"
"/ALSCO - WBM/Arrow Leaf/Client","User Created","6","2.374 MB (2,489,462 bytes)"
"/ALSCO - WBM/Arrow Leaf/Internal","User Created","4","293.9 KB (300,941 bytes)"
"/ALSCO - WBM/Arrow Leaf/Opposing","User Created","4","1.985 MB (2,081,533 bytes)"
"/ALSCO - WBM/Beauty at Lake","User Created","0","0 B (0 bytes)"
"/ALSCO - WBM/Beauty at Lake/Client","User Created","13","7.678 MB (8,050,462 bytes)"
"/ALSCO - WBM/Beauty at Lake/Internal","User Created","15","1.401 MB (1,468,992 bytes)"
"/ALSCO - WBM/Beauty at Lake/Opposing","User Created","7","1.84 MB (1,929,613 bytes)"
"/ALSCO - WBM/Branding Iron","User Created","0","0 B (0 bytes)"
"/ALSCO - WBM/Branding Iron/Client","User Created","3","3.513 MB (3,683,604 bytes)"
"/ALSCO - WBM/Branding Iron/Internal","User Created","3","651.4 KB (667,035 bytes)"
"/ALSCO - WBM/Branding Iron/Opposing","User Created","1","137.8 KB (141,110 bytes)"
