"FolderPath","IdentityReference","FileSystemRights","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags"
"C:\Temp\Scripts\Files-And-Folders\Add-FoldersToPath","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Files-And-Folders\Delete-AllFilesInDirectory","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Delete-AllFilesInDirectory","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Delete-AllFilesInDirectory","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Delete-AllFilesInDirectory","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Files-And-Folders\Delete-AllFilesInDirectory","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Files-And-Folders\Delete-OldFiles","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Delete-OldFiles","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Delete-OldFiles","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Delete-OldFiles","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Files-And-Folders\Delete-OldFiles","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Files-And-Folders\Get-FolderSizes","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Get-FolderSizes","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Get-FolderSizes","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Get-FolderSizes","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Files-And-Folders\Get-FolderSizes","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Files-And-Folders\Get-MachinePath","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Get-MachinePath","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Get-MachinePath","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Get-MachinePath","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None"
"C:\Temp\Scripts\Files-And-Folders\Get-MachinePath","NT AUTHORITY\Authenticated Users","-536805376","Allow","True","ContainerInherit, ObjectInherit","InheritOnly"
"C:\Temp\Scripts\Files-And-Folders\Get-NTFSPermissions","BUILTIN\Administrators","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Get-NTFSPermissions","NT AUTHORITY\SYSTEM","FullControl","Allow","True","ContainerInherit, ObjectInherit","None"
"C:\Temp\Scripts\Files-And-Folders\Get-NTFSPermissions","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","ContainerInherit, ObjectInherit","None"
